transaction id,date,user id,book title,genre,borrowing duration
TXN-20230811-00001,2023-08-11,USR-00814,Steve Jobs,Biography,14
TXN-20230916-00002,2023-09-16,USR-00346,Dune,Science Fiction,7
TXN-20231218-00003,2023-12-18,USR-00742,The House in the Cerulean Sea,Young Adult,35
TXN-20250313-00004,2025-03-13,USR-00465,Becoming,Memoir,7
TXN-20230224-00005,2023-02-24,USR-00850,The Silent Patient,Thriller,35
TXN-20260313-00006,2026-03-13,USR-01105,"Thinking, Fast and Slow",Psychology,28
TXN-20260311-00007,2026-03-11,USR-00420,The Hate U Give,Young Adult,14
TXN-20260120-00008,2026-01-20,USR-00986,The Martian,Science Fiction,14
TXN-20230427-00009,2023-04-27,USR-00486,The Hate U Give,Young Adult,42
TXN-20251030-00010,2025-10-30,USR-00782,The Diary of a Young Girl,Biography,14
TXN-20260329-00011,2026-03-29,USR-01024,Becoming,Memoir,10
TXN-20240508-00012,2024-05-08,USR-01232,Sapiens,History,14
TXN-20251023-00013,2025-10-23,USR-00677,The Name of the Wind,Fantasy,14
TXN-20230829-00014,2023-08-29,USR-00987,The Hate U Give,Young Adult,28
TXN-20250207-00015,2025-02-07,USR-00431,The Fellowship of the Ring,Fantasy,42
TXN-20250708-00016,2025-07-08,USR-01196,The Midnight Library,Contemporary Fiction,28
TXN-20230311-00017,2023-03-11,USR-00010,Atomic Habits,Self-Help,28
TXN-20260429-00018,2026-04-29,USR-00027,The Diary of a Young Girl,Biography,14
TXN-20230104-00019,2023-01-04,USR-01023,The Hobbit,Fantasy,7
TXN-20250203-00020,2025-02-03,USR-00930,A Game of Thrones,Fantasy,28
TXN-20260811-00021,2026-08-11,USR-00043,To Kill a Mockingbird,Classic,28
TXN-20260216-00022,2026-02-16,USR-01035,Braiding Sweetgrass,Nature,14
TXN-20250221-00023,2025-02-21,USR-01020,The Book Thief,Historical Fiction,28
TXN-20250623-00024,2025-06-23,USR-00285,The Thursday Murder Club,Mystery,21
TXN-20231122-00025,2023-11-22,USR-00842,The Hate U Give,Young Adult,14
TXN-20250127-00026,2025-01-27,USR-00514,Becoming,Memoir,14
TXN-20250519-00027,2025-05-19,USR-01219,The Kite Runner,Literary Fiction,14
TXN-20230422-00028,2023-04-22,USR-00050,The Da Vinci Code,Thriller,7
TXN-20250724-00029,2025-07-24,USR-00719,"Thinking, Fast and Slow",Psychology,28
TXN-20251212-00030,2025-12-12,USR-00672,The Diary of a Young Girl,Biography,14
TXN-20230106-00031,2023-01-06,USR-00532,The Psychology of Money,Business,28
TXN-20260312-00032,2026-03-12,USR-00287,Steve Jobs,Biography,7
TXN-20260809-00033,2026-08-09,USR-00172,Educated,Memoir,28
TXN-20230519-00034,2023-05-19,USR-00760,All the Light We Cannot See,Historical Fiction,28
TXN-20241026-00035,2024-10-26,USR-01323,Charlotte's Web,Children's,28
TXN-20250617-00036,2025-06-17,USR-00070,The Hate U Give,Young Adult,35
TXN-20230310-00037,2023-03-10,USR-00216,The Book Thief,Historical Fiction,10
TXN-20240322-00038,2024-03-22,USR-01009,The Hobbit,Fantasy,35
TXN-20250207-00039,2025-02-07,USR-00747,The Girl with the Dragon Tattoo,Mystery,14
TXN-20231111-00040,2023-11-11,USR-00020,The Diary of a Young Girl,Biography,14
TXN-20250914-00041,2025-09-14,USR-00727,The Hobbit,Fantasy,42
TXN-20231224-00042,2023-12-24,USR-00968,"Thinking, Fast and Slow",Psychology,10
TXN-20260216-00043,2026-02-16,USR-00283,The Martian,Science Fiction,14
TXN-20260822-00044,2026-08-22,USR-00648,The Hate U Give,Young Adult,42
TXN-20240313-00045,2024-03-13,USR-00176,Becoming,Memoir,14
TXN-20230630-00046,2023-06-30,USR-00640,The Fellowship of the Ring,Fantasy,14
TXN-20250623-00047,2025-06-23,USR-01278,Project Hail Mary,Science Fiction,21
TXN-20250410-00048,2025-04-10,USR-00687,The Great Gatsby,Classic,14
TXN-20230528-00049,2023-05-28,USR-00968,The Da Vinci Code,Thriller,7
TXN-20230919-00050,2023-09-19,USR-00223,Where the Crawdads Sing,Literary Fiction,7
TXN-20250621-00051,2025-06-21,USR-00479,Charlotte's Web,Children's,7
TXN-20250309-00052,2025-03-09,USR-01031,The Name of the Wind,Fantasy,35
TXN-20260627-00053,2026-06-27,USR-00777,Dune,Science Fiction,21
TXN-20240125-00054,2024-01-25,USR-01243,Gone Girl,Mystery,10
TXN-20240320-00055,2024-03-20,USR-00974,The Diary of a Young Girl,Biography,21
TXN-20251028-00056,2025-10-28,USR-00274,The Wright Brothers,History,7
TXN-20260206-00057,2026-02-06,USR-00687,Atomic Habits,Self-Help,28
TXN-20240710-00058,2024-07-10,USR-00696,Atomic Habits,Self-Help,28
TXN-20250106-00059,2025-01-06,USR-00727,Dune,Science Fiction,7
TXN-20260517-00060,2026-05-17,USR-00047,Dune,Science Fiction,21
TXN-20241016-00061,2024-10-16,USR-00729,Charlotte's Web,Children's,14
TXN-20240104-00062,2024-01-04,USR-00581,Sapiens,History,7
TXN-20231003-00063,2023-10-03,USR-00718,The Da Vinci Code,Thriller,42
TXN-20240302-00064,2024-03-02,USR-00554,Matilda,Children's,7
TXN-20260117-00065,2026-01-17,USR-01014,The Hobbit,Fantasy,42
TXN-20260209-00066,2026-02-09,USR-00642,The House in the Cerulean Sea,Young Adult,7
TXN-20250817-00067,2025-08-17,USR-00477,Charlotte's Web,Children's,28
TXN-20240128-00068,2024-01-28,USR-00310,The Hate U Give,Young Adult,28
TXN-20250515-00069,2025-05-15,USR-00078,Becoming,Memoir,14
TXN-20260628-00070,2026-06-28,USR-00902,All the Light We Cannot See,Historical Fiction,35
TXN-20250316-00071,2025-03-16,USR-00626,The Diary of a Young Girl,Biography,7
TXN-20251123-00072,2025-11-23,USR-00081,The Psychology of Money,Business,7
TXN-20230504-00073,2023-05-04,USR-00213,Where the Crawdads Sing,Literary Fiction,28
TXN-20251209-00074,2025-12-09,USR-00001,The Fellowship of the Ring,Fantasy,14
TXN-20230304-00075,2023-03-04,USR-01213,To Kill a Mockingbird,Classic,14
TXN-20260606-00076,2026-06-06,USR-01217,The Kite Runner,Literary Fiction,10
TXN-20231229-00077,2023-12-29,USR-00206,Braiding Sweetgrass,Nature,7
TXN-20250210-00078,2025-02-10,USR-00536,Charlotte's Web,Children's,28
TXN-20240912-00079,2024-09-12,USR-00050,The House in the Cerulean Sea,Young Adult,14
TXN-20250313-00080,2025-03-13,USR-01196,The Hate U Give,Young Adult,42
TXN-20251201-00081,2025-12-01,USR-00680,A Brief History of Time,Science,10
TXN-20260802-00082,2026-08-02,USR-00395,Project Hail Mary,Science Fiction,7
TXN-20230315-00083,2023-03-15,USR-00853,Pride and Prejudice,Classic,14
TXN-20260706-00084,2026-07-06,USR-00352,Pride and Prejudice,Classic,21
TXN-20240413-00085,2024-04-13,USR-01027,The Midnight Library,Contemporary Fiction,14
TXN-20251129-00086,2025-11-29,USR-00899,The Great Gatsby,Classic,28
TXN-20240518-00087,2024-05-18,USR-00377,The Book Thief,Historical Fiction,28
TXN-20230312-00088,2023-03-12,USR-00223,The Name of the Wind,Fantasy,14
TXN-20231202-00089,2023-12-02,USR-00548,The Name of the Wind,Fantasy,14
TXN-20240915-00090,2024-09-15,USR-00934,The Fellowship of the Ring,Fantasy,7
TXN-20260416-00091,2026-04-16,USR-00752,Steve Jobs,Biography,14
TXN-20240427-00092,2024-04-27,USR-00480,Gone Girl,Mystery,7
TXN-20230115-00093,2023-01-15,USR-00990,Becoming,Memoir,28
TXN-20250509-00094,2025-05-09,USR-00893,Becoming,Memoir,21
TXN-20250128-00095,2025-01-28,USR-00825,The Book Thief,Historical Fiction,7
TXN-20240409-00096,2024-04-09,USR-00071,The House in the Cerulean Sea,Young Adult,14
TXN-20260425-00097,2026-04-25,USR-00683,Pride and Prejudice,Classic,35
TXN-20250929-00098,2025-09-29,USR-01009,The Psychology of Money,Business,7
TXN-20240510-00099,2024-05-10,USR-00095,A Brief History of Time,Science,7
TXN-20230217-00100,2023-02-17,USR-01153,Matilda,Children's,42
TXN-20241130-00101,2024-11-30,USR-01278,All the Light We Cannot See,Historical Fiction,21
TXN-20250101-00102,2025-01-01,USR-01100,The Martian,Science Fiction,14
TXN-20260418-00103,2026-04-18,USR-01250,Where the Crawdads Sing,Literary Fiction,28
TXN-20250130-00104,2025-01-30,USR-00434,"Thinking, Fast and Slow",Psychology,14
TXN-20240407-00105,2024-04-07,USR-00485,Steve Jobs,Biography,7
TXN-20250722-00106,2025-07-22,USR-00298,The Very Hungry Caterpillar,Children's,42
TXN-20260502-00107,2026-05-02,USR-00105,Braiding Sweetgrass,Nature,42
TXN-20251022-00108,2025-10-22,USR-00107,"Thinking, Fast and Slow",Psychology,14
TXN-20240130-00109,2024-01-30,USR-00210,Braiding Sweetgrass,Nature,35
TXN-20240310-00110,2024-03-10,USR-00992,The House in the Cerulean Sea,Young Adult,14
TXN-20260327-00111,2026-03-27,USR-00741,Project Hail Mary,Science Fiction,10
TXN-20250718-00112,2025-07-18,USR-00589,The Fellowship of the Ring,Fantasy,35
